Date|Time|Lat|Lng|Weather|Nautical_Twilight
9/25/19|9:11:53 AM|35.83084667|-78.77640645|CLEAR|DAYLIGHT
9/25/19|5:26:38 PM|35.78723776|-78.87382394|CLEAR|DAYLIGHT
9/28/19|3:02:14 PM|35.78375177|-78.85612787|CLEAR|DAYLIGHT
10/1/19|3:14:27 PM|35.75954137|-78.74137283|CLEAR|DAYLIGHT
9/30/19|9:08:21 AM|35.77881959|-78.81183735|CLEAR|DAYLIGHT
10/4/19|1:11:35 AM|35.8248183|-78.83781892|CLEAR|DAYLIGHT
10/8/19|7:38:11 PM|35.76734182|-78.7466563|CLEAR|DARK - UNKNOWN LIGHTING
10/14/19|7:00:48 AM|35.73720889|-78.7908604|CLOUDY|DARK - ROADWAY NOT LIGHTED
10/12/19|5:39:41 PM|35.75956508|-78.74137444|CLEAR|DAYLIGHT
10/14/19|4:08:57 PM|35.73601443|-78.78461828|CLEAR|DAYLIGHT
10/12/19|3:56:19 PM|35.79357926|-78.78320131|CLEAR|DAYLIGHT
10/15/19|2:29:39 PM|35.8694819|-78.59650388|CLEAR|DAYLIGHT
10/16/19|2:38:17 PM|35.74100846|-78.81734105|CLOUDY|DAYLIGHT
10/16/19|1:06:25 PM|35.78508307|-78.78119645|RAIN|DAYLIGHT
10/9/19|8:31:42 AM|35.725851|-78.79075036|CLEAR|DAYLIGHT
10/17/19|11:21 PM|35.78460366|-78.78119478|CLEAR|DAYLIGHT
10/19/19|9:27:47 AM|35.77872316|-78.78932949|CLOUDY|DAYLIGHT
10/17/19|3:06:52 PM|35.75799961|-78.78038067|CLEAR|DAYLIGHT
10/19/19|11:11 AM|35.75030276|-78.77611798|CLEAR|DAYLIGHT
10/23/19|3:04:32 PM|35.73894832|-78.79830394|CLEAR|DAYLIGHT
10/21/19|1:13:44 AM|35.79406892|-78.79827102|CLEAR|DAYLIGHT
10/30/19|9:03:40 PM|35.73720889|-78.7908604|CLOUDY|DARK - LIGHTED ROADWAY
11/4/19|4:32:05 PM|35.78894668|-78.85010493|CLOUDY|DAYLIGHT
1/7/19|2:26:45 PM|35.60195368|-78.79930456|CLEAR|DAYLIGHT
1/3/19|8:33:32 AM|35.8130951|-78.86200092|CLOUDY|DAYLIGHT
1/10/19|1:24:12 PM|35.73671729|-78.77861754|CLEAR|DAYLIGHT
1/12/19|10:52 PM|35.78726166|-78.77254864|RAIN|DARK - LIGHTED ROADWAY
1/12/19|2:37:27 PM|35.78499781|-78.76914751|CLEAR|DAYLIGHT
1/14/19|10:05 PM|35.82150856|-78.85343423|CLEAR|DARK - LIGHTED ROADWAY
1/15/19|5:15:46 PM|35.94550462|-78.56081774|CLEAR|DAYLIGHT
1/15/19|4:20:26 PM|35.72290938|-78.78001558|CLEAR|DAYLIGHT
1/17/19|8:04:19 PM|35.79069481|-78.84885452|CLEAR|DARK - LIGHTED ROADWAY
1/21/19|12:47 PM|35.76054733|-78.74263277|CLEAR|DAYLIGHT
1/4/19|1:53:42 PM|35.80809589|-78.87058866|RAIN|DAYLIGHT
1/26/19|10:59 AM|35.74052407|-78.74272677|CLEAR|DAYLIGHT
1/26/19|5:06:29 PM|35.85119273|-78.89415721|CLEAR|DAYLIGHT
1/18/19|2:13:49 PM|35.80809589|-78.87058866|CLOUDY|DAYLIGHT
1/29/19|9:05:58 AM|35.83051075|-78.84736064|CLEAR|DAYLIGHT
2/6/19|6:15:01 PM|35.81369569|-78.87268266|CLEAR|DARK - LIGHTED ROADWAY
2/7/19|7:24:00 PM|35.7615699|-78.78180144|CLEAR|DUSK
2/7/19|9:02:07 AM|35.75398952|-78.75404558|CLOUDY|DAYLIGHT
2/2/19|11:31 AM|35.78692295|-78.7626821|CLEAR|DARK - LIGHTED ROADWAY
2/8/19|4:03:34 PM|35.74151493|-78.80966374|CLEAR|DAYLIGHT
2/16/19|3:11:59 AM|35.74042606|-78.75514028|CLEAR|DARK - LIGHTED ROADWAY
2/16/19|2:51:21 PM|35.81348017|-78.9137983|RAIN|DAYLIGHT
2/20/19|2:47:34 PM|35.73924226|-78.78936655|RAIN|DAYLIGHT
2/23/19|6:16:49 PM|35.76400804|-78.74877098|RAIN|DARK - LIGHTED ROADWAY
2/21/19|6:49:37 PM|35.78307574|-78.78335968|CLEAR|DARK - LIGHTED ROADWAY
3/1/19|6:49:08 PM|35.826357200000004|-78.80601508|RAIN|DARK - LIGHTED ROADWAY
3/5/19|10:49 PM|35.76202152|-78.82180490000002|CLEAR|DARK - LIGHTED ROADWAY
3/11/19|10:22 AM|35.78687306|-78.76907556|CLEAR|DAYLIGHT
3/13/19|5:47:50 PM|35.737154100000005|-78.79085468|CLEAR|DAYLIGHT
3/13/19|3:28:07 PM|35.74149511|-78.8097236|CLEAR|DAYLIGHT
7/5/19|6:18:35 AM|35.8620066|-78.89547231|CLEAR|DAYLIGHT
7/11/19|10:57 AM|35.84338249|-78.89616913|CLEAR|DAYLIGHT
7/12/19|9:28:45 AM|35.82095304|-78.91044794|CLEAR|DAYLIGHT
7/12/19|3:07:39 PM|35.60195368|-78.79930456|CLEAR|DAYLIGHT
7/12/19|4:09:19 PM|35.77846832|-78.87242540000001|CLEAR|DAYLIGHT
7/15/19|4:54:14 PM|35.780159000000005|-78.86499367|RAIN|DAYLIGHT
7/19/19|6:27:47 PM|35.77786879999999|-78.77966806|CLEAR|DAYLIGHT
7/20/19|5:35:43 PM|35.5949557|-78.78697638|CLEAR|DAYLIGHT
7/24/19|6:22:22 PM|35.76635376|-78.73572499|CLEAR|DAYLIGHT
7/29/19|3:00:12 PM|35.83228014|-78.88412004|CLEAR|DAYLIGHT
7/30/19|4:54:47 PM|35.80304904|-78.77470728|CLEAR|DAYLIGHT
1/3/19|2:19:40 PM|35.78233673|-78.84821312|CLOUDY|DAYLIGHT
1/3/19|3:03:39 PM|35.78684386|-78.7704256|CLOUDY|DAYLIGHT
1/4/19|3:23:30 PM|35.82610979|-78.86079424|RAIN|DAYLIGHT
1/4/19|4:02:15 PM|35.60195368|-78.79930456|RAIN|DAYLIGHT
1/4/19|12:25 PM|35.78369054|-78.86139113|RAIN|DAYLIGHT
1/6/19|2:20:14 PM|35.792096|-78.78600151|CLEAR|DAYLIGHT
1/7/19|5:56:39 PM|35.80195476|-78.87129148|CLEAR|DUSK
1/7/19|3:08:55 PM|35.91131647|-78.48064892|CLEAR|DAYLIGHT
1/9/19|8:26:30 AM|35.78581659|-78.93329061|CLEAR|DAYLIGHT
1/8/19|5:01:44 PM|35.78801581|-78.7951162|CLEAR|DAYLIGHT
1/10/19|2:03:07 PM|35.83426874|-78.9062308|CLEAR|DAYLIGHT
1/14/19|2:34:34 PM|35.80253297|-78.89700313|CLOUDY|DAYLIGHT
1/24/19|12:04 PM|35.73203438|-78.78973236|CLEAR|DAYLIGHT
1/25/19|4:14:40 PM|35.86521075|-78.51824064|CLEAR|DAYLIGHT
1/26/19|2:08:03 PM|35.82233617|-78.90225156|CLEAR|DAYLIGHT
1/27/19|3:53:17 PM|35.76486493|-78.87499565|CLEAR|DAYLIGHT
1/30/19|7:01:57 PM|35.76635379|-78.73572499|CLEAR|DARK - LIGHTED ROADWAY
